Date,Rain
24-07-2012,1185
25-07-2012,1155
26-07-2012,1128
27-07-2012,1095
28-07-2012,1062
29-07-2012,1032
30-07-2012,1001
31-07-2012,969
01-08-2012,940
02-08-2012,914
03-08-2012,888
04-08-2012,888
05-08-2012,863
06-08-2012,839
07-08-2012,819
08-08-2012,799
09-08-2012,909
10-08-2012,909
11-08-2012,888
12-08-2012,868
13-08-2012,849
14-08-2012,837
15-08-2012,832
16-08-2012,832
17-08-2012,825
18-08-2012,804
19-08-2012,782
20-08-2012,760
21-08-2012,734
22-08-2012,707
23-08-2012,683
24-08-2012,661
25-08-2012,636
26-08-2012,689
27-08-2012,664
28-08-2012,637
29-08-2012,644
30-08-2012,617
31-08-2012,635
01-09-2012,614
02-09-2012,595
03-09-2012,606
04-09-2012,600
05-09-2012,593
06-09-2012,587
07-09-2012,579
08-09-2012,635
09-09-2012,628
10-09-2012,619
11-09-2012,622
12-09-2012,618
13-09-2012,622
14-09-2012,649
15-09-2012,670
16-09-2012,678
17-09-2012,685
18-09-2012,681
19-09-2012,677
20-09-2012,673
21-09-2012,685
22-09-2012,679
23-09-2012,671
24-09-2012,664
25-09-2012,656
26-09-2012,646
27-09-2012,639
28-09-2012,631
29-09-2012,622
30-09-2012,606
01-10-2012,593
02-10-2012,588
03-10-2012,583
04-10-2012,578
05-10-2012,573
06-10-2012,568
07-10-2012,607
08-10-2012,598
09-10-2012,589
10-10-2012,579
11-10-2012,568
12-10-2012,556
13-10-2012,545
14-10-2012,533
15-10-2012,546
16-10-2012,535
17-10-2012,524
18-10-2012,524
19-10-2012,540
20-10-2012,579
21-10-2012,627
22-10-2012,656
23-10-2012,670
24-10-2012,679
25-10-2012,679
26-10-2012,674
27-10-2012,668
28-10-2012,661
29-10-2012,653
30-10-2012,645
31-10-2012,664
01-11-2012,695
02-11-2012,713
03-11-2012,749
04-11-2012,829
05-11-2012,888
06-11-2012,917
07-11-2012,941
08-11-2012,950
09-11-2012,950
10-11-2012,948
11-11-2012,948
12-11-2012,951
13-11-2012,951
14-11-2012,951
15-11-2012,945
16-11-2012,940
17-11-2012,932
18-11-2012,924
19-11-2012,914
20-11-2012,905
21-11-2012,897
22-11-2012,890
23-11-2012,888
24-11-2012,882
25-11-2012,874
26-11-2012,864
27-11-2012,853
28-11-2012,840
29-11-2012,828
30-11-2012,812
01-12-2012,796
02-12-2012,781
03-12-2012,782
04-12-2012,917
05-12-2012,1056
06-12-2012,1173
07-12-2012,1268
08-12-2012,1333
09-12-2012,1373
10-12-2012,1396
11-12-2012,1416
12-12-2012,1432
13-12-2012,1446
14-12-2012,1458
15-12-2012,1464
16-12-2012,1467
17-12-2012,1469
18-12-2012,1471
19-12-2012,1473
20-12-2012,1473
21-12-2012,1473
22-12-2012,1473
23-12-2012,1473
24-12-2012,1032
25-12-2012,1473
26-12-2012,1473
27-12-2012,1473
28-12-2012,1473
29-12-2012,1473
30-12-2012,1504
31-12-2012,1518
01-01-2013,1520
02-01-2013,1523
03-01-2013,1525
04-01-2013,1527
05-01-2013,1529
06-01-2013,1537
07-01-2013,1542
08-01-2013,1544
09-01-2013,1542
10-01-2013,1539
11-01-2013,1535
12-01-2013,1529
13-01-2013,1523
14-01-2013,1516
15-01-2013,1510
16-01-2013,1504
17-01-2013,1500
18-01-2013,1495
19-01-2013,1491
20-01-2013,1487
21-01-2013,1481
22-01-2013,1475
23-01-2013,1469
24-01-2013,1462
25-01-2013,1456
26-01-2013,1448
27-01-2013,1440
28-01-2013,1430
29-01-2013,1418
